first_name,last_name,gender,date_of_birth,email,personal_email,phone,phone_2,door_no,street,village_town,pin_code,aadhaar_number,pan_number,uan_number,esi_number,driving_license_number,bank_name,bank_branch,bank_account_number,ifsc_code,emergency_contact_name,emergency_contact_number,emergency_contact_relation,highest_qualification,year_of_passing,percentage,institute_name,last_firm_name,years_of_experience,last_designation,last_drawn_salary,reason_to_quit,referred_by,health_issues,allergies,designation,date_joined,joining_salary,project,role,initial_password
Naveen,Tiwari,Male,1992-08-01,naveen.tiwari1@example.com,naveen37@gmail.com,9164059465,,167,NH 44,Delhi,615762,108602481630,WBZMO3141M,936335071507,,,State Bank of India,Salt Lake,614931979821,UBIN0668988,Amit Sharma,9411167324,Brother,B.Tech,2020,89.1,Delhi University,TCS,13,QA Analyst,65726,,Anand Bhat,,Penicillin,QA Analyst,2023-09-20,100340,Project Omega,employee,Welcome@912
Lakshmi,Bhat,Female,1998-06-18,lakshmi.bhat2@example.com,lakshmi59@gmail.com,9336017196,,331,NH 44,Mumbai,476241,776561622902,SBESC9989A,129366928164,,KA9499752823186,Punjab National Bank,Hinjewadi,66366470083,PUNB0706975,Divya Kumar,9677887152,Spouse,B.Com,2010,67.6,VIT Vellore,Wipro,8,,148275,Personal reasons,,,Pollen,DevOps Engineer,2024-12-06,119304,Project Gamma,employee,Welcome@461
Anand,Chauhan,Male,1999-07-06,anand.chauhan3@example.com,anand75@gmail.com,9221086518,9876095406,3,Ring Road,Hyderabad,756860,923364925071,FIKEN7367O,407854821009,,TN4684753153080,IndusInd Bank,Viman Nagar,345357368604160,SBIN0110887,Meena Mishra,9613179224,Brother,MCA,2016,67.2,Amity University,TCS,6,,128144,,Nikhil Tiwari,Asthma,Dust,Product Manager,2021-05-02,163087,Mobile App,manager,Welcome@357
Vivek,Chauhan,Male,1990-06-03,vivek.chauhan4@example.com,vivek75@gmail.com,9972030652,9139891281,137,Ring Road,Jaipur,545112,970859684585,GUYTG9450S,,55478683537268186,DL7912192242566,Bank of Baroda,MG Road,0559070984729,SBIN0639122,Deepak Mishra,9844171001,Mother,B.Tech,2006,83.0,Anna University,,9,,111919,Personal reasons,Asha Iyer,,,UI/UX Designer,2020-10-13,48655,Internal Tools,manager,Welcome@520
Pallavi,Singh,Female,2000-01-26,pallavi.singh5@example.com,pallavi80@gmail.com,9291485693,9902874034,56,FC Road,Pune,705846,097756114640,JTLQB4710E,289166738554,62834518809323985,,State Bank of India,Salt Lake,035843332825879,PUNB0530502,Pranav Iyer,9812824014,Brother,B.Com,2009,67.2,IIT Delhi,HCL,4,,91989,Better opportunity,,,Pollen,Business Analyst,2023-04-28,176077,Data Platform,manager,Welcome@958
Harish,Patel,Male,1987-10-13,harish.patel6@example.com,harish69@gmail.com,9821157801,,179,FC Road,Mumbai,453225,403957514713,EOVPD1156U,758197971247,84837193772210740,KA7386373364565,Canara Bank,Andheri West,5278158889435133,UTIB0971661,Divya Gupta,9424980356,Father,M.Sc,2022,77.0,Mumbai University,,13,Data Analyst,,Relocation,,,Pollen,Team Lead,2025-04-13,179356,Internal Tools,hr,Welcome@573
Rani,Singh,Female,1999-10-30,rani.singh7@example.com,rani92@gmail.com,9969948885,,115,Park Street,Bangalore,590791,706722628508,AAVVS8417I,250628172864,,,Canara Bank,Banjara Hills,6993529223576143,BARB0141796,Sunita Joshi,9436405067,Spouse,BBA,2007,80.2,Amity University,Infosys,3,Business Analyst,124218,,Nikhil Chauhan,Asthma,Dust,DevOps Engineer,2022-03-08,107217,Project Omega,employee,Welcome@345
Rekha,Singh,Female,1985-10-20,rekha.singh8@example.com,rekha68@gmail.com,9922250457,,50,Church Street,Kolkata,463201,133071991701,BOBAW3543N,,75855632773295828,TS5166684586678,Axis Bank,MG Road,663489230333464,ICIC0240313,Anand Verma,9140555277,Father,B.Com,2013,64.4,Pune University,Wipro,3,UI/UX Designer,82239,Better opportunity,Suresh Patel,Asthma,,DevOps Engineer,2020-05-19,184937,Data Platform,employee,Welcome@471
Asha,Rao,Female,2000-02-13,asha.rao9@example.com,asha64@gmail.com,9279581386,9851542056,222,Residency Road,Ahmedabad,804169,296360819276,BCYQB2827I,556140959607,13490120740753875,,Punjab National Bank,Whitefield,9967267731047037,UBIN0735516,Swati Joshi,9711174880,Sister,M.Sc,2021,68.2,Amity University,Accenture,2,,,Relocation,,,,Senior Developer,2023-06-11,105059,Cloud Migration,hr,Welcome@770
Ajay,Joshi,Male,1993-11-07,ajay.joshi10@example.com,ajay56@gmail.com,9557495210,,101,MG Road,Bangalore,463543,144408214437,GKBFN3191Q,601938457066,20749522493770721,,Axis Bank,Andheri West,3337019657724557,UTIB0594274,Sunita Singh,9257789583,Brother,M.Tech,2019,69.3,Delhi University,Accenture,9,,148185,Higher studies,,Asthma,Penicillin,Project Manager,2025-07-01,167483,Project Beta,employee,Welcome@818
